[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding instance extension VK_EXT_debug_report
[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding instance extension VK_EXT_debug_utils
[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding instance extension VK_EXT_validation_features
[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding device extension VK_EXT_debug_marker
[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding device extension VK_EXT_validation_cache
[14:48:46] [trace] LUNA: Meta-layer VK_LAYER_LUNARG_override component layer VK_LAYER_KHRONOS_validation adding device extension VK_EXT_tooling_info
[14:48:46] [trace] LUNA: Searching for ICD drivers named .\amdvlk64.dll
[14:48:46] [trace] LUNA: Build ICD instance extension list
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_device_group_creation (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.1
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_external_fence_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.1
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_external_memory_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.1
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_external_semaphore_capabilities (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.1
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_get_physical_device_properties2 (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.2
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_get_surface_capabilities2 (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.1
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_surface (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.25
[14:48:46] [trace] LUNA: Instance Extension: VK_KHR_win32_surface (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.6
[14:48:46] [trace] LUNA: Instance Extension: VK_EXT_debug_report (C:\WINDOWS\System32\DriverStore\FileRepository\u0380680.inf_amd64_af18cc8f47b8a04e\B374868\.\amdvlk64.dll) version 0.0.10
